fecha,canal,texto
2025-09-08 18:35:15,Empleo en Bogotá,Empleo en Bogotá
2025-09-08 18:35:15,Empleo en Bogotá,602 K seguidores
2025-09-08 18:35:15,Empleo en Bogotá,Y les cuento que semana tendremos Jornada de Empleabilidad para personas víctimas del conflicto armado.
2025-09-08 18:35:15,Empleo en Bogotá,"¡Atención Bosa!
Tendremos más de 100 puestos de trabajo disponibles. 
En nuestra Jornada de Empleabilidad, dirigida a personas víctimas del conflicto armado, podrás acceder a las vacantes de 2 empresas y, además, postularte a las ofertas disponibles en la Agencia Distrital de Empleo.
 11 de septiembre
 9:00 a.m. a 1:00 p.m.
Centro de Encuentro de Bosa (calle 69A sur #92 - 47)"
2025-09-08 18:35:15,Empleo en Bogotá,¡Hola!
2025-09-08 18:35:15,Empleo en Bogotá,Vamos con vacantes laborales.
2025-09-08 18:35:15,Empleo en Bogotá,"Vacante para profesionales
MEGAFUNDACIÓN EMPRESARIAL DE ECONOMÍA Y FINANZAS - BANCO MUNDIAL DE ALIMENTOS busca Talento Administrativo para el cargo de 
Gerente general cadena de almacenes.
 Salario: $5.000.000
 Contrato: Término Indefinido
 Nivel educativo: Profesional en administración de empresas
 Experiencia: 2 a 4 años
 Postúlate en: www.serviciodeempleo.gov.co"
2025-09-08 18:35:15,Empleo en Bogotá,"Esta semana venimos recargados  
!Tenemos más de 450 oportunidades laborales para todos los perfiles y sin experiencia requerida!  
302 de las 458 vacantes no requieren experiencia previa, lo que facilita el acceso al primer empleo en la ciudad. La oferta incluye oportunidades para todos los niveles de formación, hasta por 9 salarios mínimos.  
¡Conoce todos los detalles aquí!  
https://desarrolloeconomico.gov.co/bogota-ofrece-mas-de-450-oportunidades-laborales-vacantes-para-todos-los-perfiles-y-sin-experiencia-requerida/"
2025-09-08 18:35:15,Empleo en Bogotá,"Vacante para Técnicos / Tecnólogos
INVERSIONES MR MOTOR LTDA. busca Auxiliar Contable.
 Nivel educativo: Tecnológico
 Experiencia: 1 a 2 años
 Aplica ya en: www.serviciodeempleo.gov.co"
2025-09-08 18:35:15,Empleo en Bogotá,"El desempleo en Bogotá sigue cayendo: es la cifra más baja en 18 años.
Conoce más aquí: https://www.instagram.com/p/DOWwOMEjq1G/?igsh=MWtnYWRpejN6YWM4Zg=="
